#DATE,GENERATED,EXPORTED,USED,PEAK_POWER,PEAK_TIME,CONDITION,TEMPERATURE_MIN,TEMPERATURE_MAX,COMMENTS,IMPORT_PEAK,IMPORT_OFF_PEAK,IMPORT_SHOULDER,CREDIT,DEBIT
13/07/20,18188,,,4932,15:30,Mostly Cloudy,28.00,57.00,"Updated 16:05 UTC+2:00",,,,,
12/07/20,24748,,,4745,14:45,Partly Cloudy,29.00,56.00,"Updated 20:55 UTC+2:00",,,,,
11/07/20,24225,,,4540,12:55,Partly Cloudy,0.00,55.00,"Updated 21:05 UTC+2:00",,,,,
10/07/20,24899,,,3972,14:35,Partly Cloudy,29.00,57.00,"Updated 20:30 UTC+2:00",,,,,
09/07/20,32204,,,3872,13:55,Fine,28.00,57.00,"Updated 21:00 UTC+2:00",,,,,
08/07/20,33401,,,4101,14:40,Fine,29.00,58.00,"Updated 21:05 UTC+2:00",,,,,
07/07/20,28557,,,4750,14:35,Fine,29.00,59.00,"Updated 21:05 UTC+2:00",,,,,
06/07/20,32044,,,3824,14:00,Fine,29.00,58.00,"Updated 21:05 UTC+2:00",,,,,
05/07/20,32591,,,3874,13:45,Fine,29.00,57.00,"Updated 21:05 UTC+2:00",,,,,
04/07/20,33236,,,3928,14:10,Fine,28.00,57.00,"Updated 21:00 UTC+2:00",,,,,
03/07/20,23613,,,4072,15:25,Partly Cloudy,28.00,58.00,"Updated 18:20 UTC+2:00",,,,,
02/07/20,26627,,,4402,15:00,Partly Cloudy,28.00,59.00,"Updated 20:55 UTC+2:00",,,,,
01/07/20,21078,,,4611,13:30,Mostly Cloudy,0.00,53.00,"Updated 20:35 UTC+2:00",,,,,
30/06/20,25268,,,4459,14:10,Partly Cloudy,28.00,54.00,"Updated 20:55 UTC+2:00",,,,,
29/06/20,32896,,,3904,14:15,Fine,28.00,57.00,"Updated 21:05 UTC+2:00",,,,,
28/06/20,30410,,,4374,14:40,Fine,28.00,59.00,"Updated 21:00 UTC+2:00",,,,,
27/06/20,23059,,,4256,15:35,Partly Cloudy,29.00,57.00,"Updated 21:10 UTC+2:00",,,,,
26/06/20,18754,,,4380,14:10,Mostly Cloudy,28.00,53.00,"Updated 21:00 UTC+2:00",,,,,
25/06/20,27225,,,4296,13:40,Partly Cloudy,0.00,57.00,"Updated 20:50 UTC+2:00",,,,,
24/06/20,32024,,,3844,14:20,Fine,28.00,57.00,"Updated 21:05 UTC+2:00",,,,,
23/06/20,32872,,,3848,14:00,Fine,28.00,58.00,"Updated 21:05 UTC+2:00",,,,,
22/06/20,33226,,,4042,14:00,Fine,27.00,57.00,"Updated 21:05 UTC+2:00",,,,,
21/06/20,32973,,,4605,14:05,Fine,0.00,57.00,"Updated 21:10 UTC+2:00",,,,,
20/06/20,32421,,,3976,14:35,Fine,0.00,57.00,"Updated 21:05 UTC+2:00",,,,,
19/06/20,32317,,,4468,12:30,Fine,26.00,57.00,"Updated 21:05 UTC+2:00",,,,,
18/06/20,23821,,,4978,14:40,Partly Cloudy,26.00,55.00,"Updated 20:25 UTC+2:00",,,,,
